province_name,uezd_name,masterid,gis_id
Moscow,Moskovskii,204,549
Nizhegorod,Vasil'skii,221,550
Novgorod,Krestetskii,234,551
Podol'sk,Ol'gopol'skii,293,552
Riazan,Pronskii,326,554
Samara,Bugul'minskii,333,555
Saratov,Tsaritsynskii,357,556
Smolensk,El'ninskii,372,557
Smolensk,Smolenskii,366,558
Vitebsk,Drissenskii,453,559
Vladimir,Aleksandrovskii,463,560
Vladimir,Vianikovskii,464,561
Vladimir,Gorokhovskii,465,562
Zemlia voiska donskogo,Rostovskii,513,563
Zemlia voiska donskogo,Ust'-Medveditskii,516,564
Vologoda,Griazovetskii,477,565
Volyna,Zaslavskii,488,566
Voronezh,Pavlovskii,508,567
Voronezh,Zadonskii,502,568
Voronezh,Zemlianskii,503,569
,Vnut. Kirgizskaya Orda,16,
,Kalmitskaya Step,17,
,Iasskii,26,
,Rostovskii,50,
,Taganrog,51,
,Odesskii grad.,115,
,Nikolaev. Voen. Gub.,116,
,Zel'burgskii,158,
,Deritskii,183,
,Kronsht. Voen. Gub,347,
,Kerkh' enikol'sk. Grad.,398,
,Sevastopol. Grad.,399,
,Ne raspred. Io uezdam',412,
,Dinaburgskii,460,
,Surazhskii,461,
,Miusskii,518,
Arkhangel'sk,Kol'skii,3,
