province,uezd
Samara,Buguruslanskii
Samara,Buzulukskii
Samara,Nikolaevskii
Samara,Novouzenskii
Samara,Stavropol'skii
Sankt-Peterburg,Sankt-Peterburgskii
Sankt-Peterburg,Gdovskii
Sankt-Peterburg,Luzhskii
Sankt-Peterburg,Novoladozhskii
Sankt-Peterburg,Petergrofskii
Sankt-Peterburg,Tsarskosel'skii
Sankt-Peterburg,Shlissel'burgskii
Sankt-Peterburg,Iamburgskii
Saratov,Saratovskii
Saratov,Atkarskii
Saratov,Balashevskii
Saratov,Volgskii
Saratov,Kamyshinskii
Saratov,Kuznetskii
Saratov,Petrovskii
Saratov,Serdobskii
Saratov,Khvalynskii
Saratov,Tsaritsynskii
Simbirsk,Simbirskii
Simbirsk,Alatyrskii
Simbirsk,Ardatovskii
Simbirsk,Byinskii
Simbirsk,Korsunskii
Simbirsk,Kurmyshskii
Simbirsk,Sengileiskii
Simbirsk,Syzranskii
Smolensk,Smolenskii
Smolensk,Bel'skii
Smolensk,Viazemskii
Smolensk,Gzhatskii
Smolensk,Dorogobuzhskii
Smolensk,Dukhovshchinskii
Smolensk,El'ninskii
Smolensk,Krasninskii
Smolensk,Porechskii
Smolensk,Roslavl'skii
Smolensk,Sychevskii
Smolensk,Iukhnovskii
Tambov,Tambovskii
Tambov,Borisoglebski
Tambov,Elatomskii
Tambov,Kirsanovskii
Tambov,Kozlovskii
Tambov,Lebedianskii
Tambov,Lipetskii
Tambov,Morshanskii
Tambov,Spasskii
Tambov,Temnikovskii
Tambov,Usmanskii
Tambov,Shatskii
Tavrich,Simferopol'skii
Tavrich,Berdianskii
Tavrich,Dneprovskii
Tavrich,Evpatoriiskii
Tavrich,Melitopol'skii
Tavrich,Perekopskii
Tavrich,Feodossiiskoi
Tul'a,Tul'skii
Tul'a,Aleksinskii
Tul'a,Bogoroditskii
Tul'a,Belevskii
Tul'a,Venevskii
Tul'a,Epifanskii
Tul'a,Efremovskii
Tul'a,Kashirskii
Tul'a,Krapivenskii
Tul'a,Novosil'skii
Tul'a,Odoevskii
Tul'a,Chernskii
Tver,Tverskoi
Tver,Bezhetskii
